_id,address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
124,"WALDECK ST & BIGELOW ST PITTSBURGH, PA 15207",1,0,0,1,0,0,2015,4,0,Greenfield,5,15,42003562900,3,4,2-12,40.42510245,-79.94950843
125,"7500 BLOCK FELICIA WAY PITTSBURGH, PA 15208",1,0,1,0,0,0,2015,4,0,,,,,,5,,,
126,"ROMLEY WAY & HAMILTON AVE PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,4,0,Larimer,9,12,42003120800,2,5,3-10,40.45842685,-79.91209919
127,"1600 BLOCK FIAT ST PITTSBURGH, PA 15210",1,0,0,1,0,0,2015,4,0,Brookline,4,32,42003320600,5,6,4-25,40.39915818,-80.00610063
128,"7200 BLOCK KELLY ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2015,4,0,Homewood South,9,13,42003130300,2,5,3-17,40.45551865,-79.89699563
129,"600 BLOCK KIRTLAND ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2015,4,0,Point Breeze,9,14,42003140600,3,4,3-14,40.44564214,-79.90778323
130,"PUTNAM ST & FRANKSTOWN AVE PITTSBURGH, PA 15206",2,0,2,0,0,0,2015,4,0,Larimer,9,12,42003120800,2,5,3-10,40.45995512,-79.91238094
131,"ELOISE ST & DROVERS WAY PITTSBURGH, PA 15212",1,0,1,0,0,0,2015,4,0,Central Northside,1,22,42003220600,1,1,1-21,40.45469318,-80.01433339
132,"700 BLOCK N HOMEWOOD AVE PITTSBURGH, PA 15208",24,0,10,6,3,5,2015,4,1,Homewood South,9,13,42003130300,2,5,3-17,40.45562902,-79.89667455
133,"FRANKSTOWN AVE & PUTNAM ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,4,1,Larimer,9,12,42003120800,2,5,3-10,40.45995512,-79.91238094
134,"500 BLOCK PROTECTORY PL PITTSBURGH, PA 15219",2,0,1,0,0,1,2015,4,1,Crawford-Roberts,6,3,42003030500,3,2,2-1,40.44148028,-79.98502427
135,"200 BLOCK POPLARGROVE ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2015,4,1,Carrick,4,29,42003290200,3,3,4-12,40.39655912,-79.9847685
136,"1300 BLOCK HODGKISS ST PITTSBURGH, PA 15212",2,0,2,0,0,0,2015,4,1,Marshall-Shadeland,1,27,42003270400,1,1,1-14,40.46714861,-80.02959906
137,"1100 BLOCK BROWNSVILLE RD PITTSBURGH, PA 15210",1,0,1,0,0,0,2015,4,1,Carrick,4,29,42003290100,3,3,4-12,40.40494732,-79.99090254
138,"RACE ST & COLLIER ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2015,4,2,Homewood North,9,13,42003130200,2,5,3-17,40.45785643,-79.8913369
139,"FRANKSTOWN AVE & BRUSHTON AVE PITTSBURGH, PA 15221",1,0,1,0,0,0,2015,4,2,Homewood South,9,13,42003130400,2,5,3-17,40.45553444,-79.88809639
140,"1400 BLOCK GRANDVIEW AVE PITTSBURGH, PA 15219",1,0,1,0,0,0,2015,4,2,,,,,,3,,,
141,"400 BLOCK PENFORT ST PITTSBURGH, PA 15214",1,0,0,1,0,0,2015,4,2,,,,,,1,,,
142,"800 BLOCK CASINO DR PITTSBURGH, PA 15233",3,0,2,0,0,1,2015,4,2,Chateau,6,21,42003980600,6,1,1-8,40.44682155,-80.02045161
143,"BELTZHOOVER AVE & MICHIGAN ST PITTSBURGH, PA 15210",1,0,0,0,0,1,2015,4,2,Knoxville,3,18,42003300100,5,3,4-21,40.41596983,-79.99718889
144,"1800 BLOCK DAVIS AVE PITTSBURGH, PA 15212",1,0,0,0,1,0,2015,4,2,Brighton Heights,1,27,42003270300,1,1,1-14,40.47989913,-80.0418455
145,"900 BLOCK BERRY ST PITTSBURGH, PA 15204",1,0,1,0,0,0,2015,4,3,,,,,,6,,,
146,"7100 BLOCK CHURCHLAND ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,4,3,Lincoln-Lemington-Belmar,9,12,42003561900,2,5,3-18,40.47107093,-79.89679126
147,"1900 BLOCK MORRELL ST PITTSBURGH, PA 15212",1,0,0,0,1,0,2015,4,3,Brighton Heights,1,27,42003270100,1,1,1-14,40.48327833,-80.04306696
148,"1700 BLOCK STRATMORE ST PITTSBURGH, PA 15205",3,0,1,2,0,0,2015,4,3,Crafton Heights,2,28,42003281500,5,6,1-18,40.44200667,-80.05699309
149,"1200 BLOCK NOLAN CT PITTSBURGH, PA 15221",1,0,1,0,0,0,2015,4,4,Homewood North,9,13,42003130100,2,5,3-17,40.45943947,-79.88687387
150,"600 BLOCK CHAUNCEY ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2015,4,4,Middle Hill,6,5,42003050100,3,2,2-5,40.44744418,-79.97334247
151,"7200 BLOCK MT VERNON ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2015,4,4,Homewood North,9,13,42003130100,2,5,3-17,40.46119408,-79.89440108
152,"700 BLOCK MT PLEASANT RD PITTSBURGH, PA 15214",1,0,1,0,0,0,2015,4,4,Northview Heights,1,26,42003260900,1,1,1-13,40.47599977,-79.99824126
153,"2200 BLOCK JONQUIL WAY PITTSBURGH, PA 15210",4,0,1,2,1,0,2015,4,4,Arlington,3,16,42003561600,3,3,4-8,40.41596461,-79.97618091
154,"UPLAND ST & N LANG AVE PITTSBURGH, PA 15208",1,0,1,0,0,0,2015,4,4,Homewood North,9,13,42003130100,2,5,3-18,40.46276593,-79.89755205
